یک,سگ,قهوه,ای,در,حال,شن,و,ماسه,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,سگ,قهوه,ای,که,در,ماسه,بازی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
سگی,که,به,سرعت,در,ماسه,ها,می,دود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,سگ,قهوه,ای,در,ساحل,بازی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
سگی,در,شن,ها,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
یک,مرد,در,حال,عبور,از,خیابان,است,و,در,فاصله,دور,می,توانید,یک,ساختمان,در,حال,ساخت,را,ببینید,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
این,مردی,است,که,پشت,بام,ایستاده,و,در,پس,زمینه,ساخت,و,ساز,قرار,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
مردی,بالای,یک,ساختمان,بلند,ایستاده,است,که,مشرف,به,شهر,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,در,جلوی,منظره,شهر,از,طریق,میدان,دید,قدم,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,با,کلاه,در,مسیرهای,قطار,راه,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,گو,,دستکش,آبی,و,جلیقه,ای,قهوه,ای,,با,یک,دوربین,بزرگ,به,سمت,یک,تریلر,Conquest,با,یک,سلول,خورشیدی,در,پاهایش,اشاره,داشت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
مردی,از,طریق,یک,دستگاه,بزرگ,مانند,دوربین,در,مزرعه,ای,نزدیک,اردوگاه,و,برخی,وسایل,نقلیه,پارک,شده,نگاه,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
یک,مرد,سیاه,پوش,در,نزدیکی,وسایل,نقلیه,و,یک,کمپینگ,ایستاده,است,و,تجهیزات,ویدئویی,را,تنظیم,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
مردی,زیر,کاپوت,سیاه,دوربین,,نزدیک,به,وسایل,نقلیه,و,RV,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,که,از,طریق,تلسکوپ,به,پارک,تریلر,نگاه,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,کودک,کوچک,در,حالی,که,توسط,شخص,دیگری,هدایت,می,شود,,از,میان,آب,عبور,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
پسر,جوانی,که,لباس,شنای,رنگارنگی,بر,تن,دارد,و,در,اقیانوس,پاشیده,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
پسر,جوانی,هنگام,پاشیدن,در,اقیانوس,می,خندد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
کودک,خردسالی,که,در,آب,پاشیده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
یک,پسر,کوچک,در,موج,سواری,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
چندین,نفر,در,حال,پیاده,روی,روی,پیاده,رو,با,حصاری,در,پس,زمینه,,همه,در,زیر,آسمان,با,ابر,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
زنی,با,لباس,مسلمان,در,حال,قدم,زدن,با,پسری,جوان,در,خیابان,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
چندین,نفر,از,طریق,پل,در,هر,دو,جهت,قدم,می,زنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردم,در,مقابل,یک,منطقه,حصارکشی,شده,قدم,می,زنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
زنی,با,ساری,قرمز,در,خیابان,قدم,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,سگ,برنزه,کوچک,با,گوش,های,بزرگ,که,از,میان,چمن,ها,می,گذرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
این,یک,سگ,بژ,کوچک,است,که,از,یک,مزرعه,چمنزار,عبور,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
گوش,های,یک,سگ,کوچک,وقتی,در,چمن,ها,می,دود,بلند,می,شوند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
یک,سگ,بازیگوش,از,میان,چمن,ها,می,دود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
سگ,کوچک,در,حال,دویدن,در,آن,طرف,چمن,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
زنی,در,حال,پیاده,روی,در,پیاده,رو,کنار,سکوی,مرتفع,مرتفع,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
زن,جوانی,با,لباس,آهسته,دویدن,در,امتداد,ساحل,رودخانه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,دزدگیر,از,زیر,شاخه,درخت,کشیده,رد,می,شود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
زنی,با,لباس,تنگ,و,در,حال,دویدن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
زنی,که,در,امتداد,یک,مسیر,در,امتداد,رودخانه,در,حال,دویدن,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,با,شلوار,قرمز,با,یک,دست,آبی,در,حالت,متعادل,قرار,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,که,شلوار,قرمز,به,تن,دارد,در,حال,تعادل,با,یک,مجسمه,آبی,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
مردی,روی,سکویی,آبی,روی,دستانش,بلند,شده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,با,شلوار,قرمز,روی,میز,پارک,می,پرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,ورزشکار,که,از,روی,یک,مانع,پرش,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,سگ,قهوه,ای,,سیاه,و,سفید,با,دهان,باز,از,میان,مزرعه,بزرگی,عبور,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
سگی,که,دهانش,باز,است,و,از,یک,میدان,عبور,می,کند,,دوربین,را,چرخانده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
یک,سگ,سیاه,,قهوه,ای,و,سفید,که,از,میان,یک,مزرعه,می,گذرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
یک,سگ,سیاه,و,سفید,در,حال,دویدن,در,این,زمینه,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
سگی,که,در,مزرعه,ای,می,دود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
یک,دختر,کوچک,با,لباس,شنا,صورتی,رنگ,که,در,استخر,شنا,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
شنای,دختر,کوچک,در,استخر,روباز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
دختری,با,لباس,شنا,صورتی,رنگ,در,استخر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
یک,دختر,کوچک,که,در,استخر,شنا,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
دختری,که,در,استخر,شنا,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
مردی,که,لباس,سفید,به,تن,دارد,,طنابی,زرد,رنگ,بر,روی,زمین,که,به,دسته,فرمان,دوچرخه,متصل,است,راه,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
مردی,که,تمام,سفید,پوشیده,است,در,حالی,که,در,اطراف,مردم,است,,روی,طنابی,که,به,دوچرخه,متصل,است,راه,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
دوچرخه,ای,که,در,خیابانی,نشسته,و,طنابی,به,آن,بسته,شده,و,پسری,روی,طناب,راه,می,رود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
یک,مجری,خیابانی,در,حال,اجرای,برنامه,با,دوچرخه,در,پیش,زمینه,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,با,دوچرخه,ترفند,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
یک,کودک,و,یک,بزرگسال,بزرگسال,ممکن,است,نشان,دهد,که,چگونه,می,توان,کاری,را,برای,آموزش,کودک,خردسال,انجام,داد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
مردی,با,یک,سطل,و,یک,کودک,که,به,برخی,ماشین,آلات,اشاره,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
یک,مرد,و,یک,کودک,در,کنار,یک,لوله,آبی,و,سیاه,ایستاده,اند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
یک,مرد,و,کودک,در,کشتی,مشغول,نگهداری,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
پدر,و,پسری,که,در,یک,قایق,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دختر,جوانی,روی,تخت,با,ملحفه,های,آبی,دست,نشان,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
کودک,کوچکی,که,روی,تخت,روی,دستش,کار,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دختر,کوچکی,که,روی,سرش,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
کودکی,روی,سرش,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
دختر,روی,تخت,وارونه,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
مردانی,که,کت,های,ایمنی,انعکاسی,به,تن,دارند,در,تقاطع,خیابان,با,بسیاری,از,مخروط,های,انعکاسی,نارنجی,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
سه,کارگر,ساختمانی,با,جلیقه,های,روشن,جاده,را,برای,کار,آماده,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردانی,که,جلیقه,ایمنی,نارنجی,به,تن,دارند,در,تعمیرات,خیابان,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
گروهی,از,مردان,با,جلیقه,های,ایمنی,نارنجی,در,حال,کار,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
سه,مرد,ساختمانی,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
مردی,با,شلوار,جین,و,ژاکت,ایمنی,زرد,در,حال,کار,روی,آجرهای,زمین,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
مردی,که,جلیقه,ایمنی,دارد,زانو,زده,و,آجرها,را,تمیز,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
مردی,با,جلیقه,زرد,و,شلوار,جین,در,حال,پیاده,روی,در,پیاده,رو,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
مردی,با,روتر,که,در,پیاده,رو,کار,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مردی,با,وسیله,ای,سنگ,خرد,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
دو,مرد,با,جلیقه,های,ساختمانی,در,کنار,خیابان,با,ماشین,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
دو,کارگر,ساختمانی,در,حال,تعمیر,یک,راهروی,سنگفرش,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دو,کارگر,ساختمانی,دستگاهی,را,کار,می,کنند,که,خیابان,را,بخارپز,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
کارگر,در,حال,اتمام,تعمیرات,در,خیابان,های,شهر,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
دو,کارگر,ساختمانی,در,جاده,ای,کار,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
انسان,روی,شن,های,سفید,ایستاده,و,اسنوبرد,را,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
پسری,در,ماسه,ایستاده,و,اسنوبرد,پشت,سرش,قرار,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مردی,با,تخته,موج,سواری,خود,در,شن,ها,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,مرد,اسنوبرد,خود,را,در,شن,و,ماسه,نگه,می,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
یک,مرد,تخته,موج,سواری,را,در,ساحل,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
یک,کارگر,ساختمانی,که,روی,سقف,یک,خانه,ایستاده,و,جلیقه,نارنجی,رنگ,با,کلاه,سخت,زرد,پوشیده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
یک,کارگر,ساختمانی,در,حال,کار,بر,روی,بخشی,از,خانه,در,نزدیکی,حصار,حلقه,ای,و,درختان,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
مردی,با,کلاه,زرد,و,لباس,نارنجی,که,درختان,خرما,در,آن,اطراف,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
مردی,با,جلیقه,نارنجی,رنگی,که,بالای,سر,یک,ساختمان,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
یک,مرد,ساختمانی,از,راه,دور,نگاه,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,که,لباس,زرد,و,شلوار,قهوهای,مایل,به,زرد,بر,تن,دارد,در,حالی,که,توسط,دیگران,تماشا,می,شود,در,بیرون,گلف,بازی,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
یک,پسر,با,لباس,زرد,و,شلوارهای,سفید,قهوه,ای,در,حالی,که,تماشاگران,تماشا,می,کنند,در,حال,بازی,گلف,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
پشت,حصار,تماشاگران,در,حال,تماشای,بازیکن,گلف,هستند,که,چماقی,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
تایگر,وودز,یک,توپ,گلف,را,به,سمت,سوراخ,قرار,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
جنگل,های,ببر,در,حال,ساخت,یک,ضربه,محکم,و,ناگهانی,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
دختری,بور,با,لباس,رزمی,کمربند,زرد,که,مقابل,در,ایستاده,و,غنیمت,بزرگی,را,به,همراه,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
دختری,جوان,در,حالی,که,غنیمت,بزرگی,را,در,دست,دارد,برای,دوربین,لبخند,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
دختری,با,لباس,سفید,و,کمربند,زرد,غنیمت,را,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
دختر,جوانی,با,لباس,کاراته,که,یک,جام,بزرگ,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
دختر,کوچک,که,یک,جایزه,کاراته,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
پسر,جوانی,با,مرد,و,دختری,که,او,را,تماشا,می,کنند,در,حوضچه,آب,می,افتد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
مردی,هنگام,شنا,پسرش,را,با,خوشحالی,پرتاب,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مرد,و,دو,کودک,در,دریاچه,شنا,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
بچه,ای,با,شناور,که,به,دریاچه,می,پرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
پسری,دارد,به,دریاچه,می,پرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
افرادی,که,از,ATV,و,دوچرخه,های,خاکی,استفاده,می,کنند,در,مسیری,فرسوده,و,در,مزرعه,ای,که,توسط,درختان,احاطه,شده,است,در,حرکت,هستند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
سه,نفر,با,دو,موتور,دوچرخه,و,یک,چهار,چرخ,در,میان,چمن,های,قهوه,ای,سوار,می,شوند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
سه,نفر,از,طریق,مزرعه,ای,که,درختان,احاطه,کرده,اند,با,دوچرخه,های,آفرود,عبور,می,کنند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
سه,نفر,با,موتور,از,مسیر,چمن,های,خشک,رد,می,شوند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
سه,نفر,با,ATV,و,موتور,سیکلت,سوار,می,شوند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
زنی,که,در,یک,مخزن,قرمز,قرار,دارد,در,حالی,که,با,دست,دیگر,کشو,را,باز,یا,بسته,می,کند,همبرگر,را,با,کفگیر,از,وسط,نصف,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
خانمی,که,یک,مخزن,قرمز,پوشیده,است,,یک,همبرگر,را,از,وسط,نصف,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
زنی,با,رنگ,قرمز,با,کفگیر,همبرگر,را,از,وسط,نصف,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
زن,جوانی,مشغول,تعمیر,همبرگر,در,آشپزخانه,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
زنی,با,رنگ,صورتی,,همبرگر,را,با,کفگیر,برش,می,دهد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
زنی,که,یک,تی,شرت,بلند,سفید,به,زانو,در,اعماق,اقیانوس,می,پوشد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
پسری,با,لباس,کثیف,در,حال,عبور,از,میان,آب,اقیانوس,تا,زانو,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
پسری,با,لباس,سفید,در,اقیانوس,قدم,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
پسری,که,در,موج,سواری,در,ساحل,قدم,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
پسری,بور,که,در,آب,قدم,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
مردی,با,کت,و,شلوار,که,از,روی,یک,کاغذ,روبروی,مجسمه,ای,برهنه,مشغول,خواندن,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
مرد,کت,و,شلوار,نزدیک,مجسمه,برهنه,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,کراوات,قرمز,رنگی,که,جلوی,یک,مجسمه,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مردی,کنار,پشت,یک,مجسمه,برهنه,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
مردی,در,حال,نگاه,کردن,به,یک,کاغذ,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
یک,کودک,نوپای,کوچک,که,لباس,سفید,پوشیده,لبخند,می,زند,در,حالی,که,یک,خانم,به,او,کمک,می,کند,تا,پرچمی,را,به,اهتزاز,درآورد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
نوزادی,با,لباس,سفید,پرچمی,با,هلال,ماه,و,ستاره,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
نوزادی,پرچم,سیاه,کوچکی,را,در,دست,دارد,که,روی,آن,یک,ماه,و,یک,ستاره,وجود,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
نوزادی,با,لباس,سفید,که,پرچم,سیاه,و,سفید,در,دست,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
نوزادی,که,لباس,سفید,بر,تن,دارد,پرچم,مسلمانان,را,به,اهتزاز,در,می,آورد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
مردی,روی,یک,قایق,شناور,کوچک,با,پرچم,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
مرد,جوانی,در,اسکله,در,نزدیکی,پرچمی,از,فرانسه,ماهیگیری,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
مردی,با,لباس,سفید,که,به,آب,خیره,شده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,شخص,روی,سازه,ای,روی,دریاچه,می,ایستد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
مردی,روی,سکویی,شناور,روی,آب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
مرد,جوانی,که,ژاکت,پوشیده,است,پشت,یک,پیشخوان,در,یک,طلافروشی,است,که,از,دور,خیره,شده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
مرد,جوانی,با,کت,خاکستری,پشت,پیشخوان,یک,فروشگاه,جواهرات,ایستاده,و,لبخند,می,زند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
مردی,با,کت,رنگ,زیتونی,در,یک,طلافروشی,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
یک,جوان,خوش,ذوق,که,در,یک,جواهرفروشی,کار,می,کند,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
مردی,پشت,یک,پیشخوان,در,یک,مغازه,ایستاده,است,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
